Epoch,TotalLoss,ExtinctionLoss,DensityLoss,Time
0,2227372.796875,2227372.796875,0.0,0.017952597141265868
1,1794853.09375,1794853.09375,0.0,0.011823701858520507
2,1669860.4921875,1669860.4921875,0.0,0.012137508392333985
3,1635047.796875,1635047.796875,0.0,0.011164482434590657
4,1625198.6875,1625198.6875,0.0,0.01151194175084432
5,1619797.5,1619797.5,0.0,0.012008031209309896
6,1617710.1328125,1617710.1328125,0.0,0.012120771408081054
7,1611961.609375,1611961.609375,0.0,0.013803692658742268
8,1604122.4921875,1604122.4921875,0.0,0.014527229468027751
9,1603750.28125,1603750.28125,0.0,0.01414722204208374
10,1607815.1484375,1607815.1484375,0.0,0.013537581761678059
11,1603891.7734375,1603891.7734375,0.0,0.013670031229654949
12,1600466.640625,1600466.640625,0.0,0.01303394635518392
13,1599650.9453125,1599650.9453125,0.0,0.01375356912612915
14,1602168.8984375,1602168.8984375,0.0,0.014086238543192546
15,1605258.625,1605258.625,0.0,0.013344649473826091
16,1601286.421875,1601286.421875,0.0,0.013363456726074219
17,1599399.4453125,1599399.4453125,0.0,0.013168903191884358
18,1601493.359375,1601493.359375,0.0,0.01368040641148885
19,1601236.7109375,1601236.7109375,0.0,0.015049982070922851
20,1603087.71875,1603087.71875,0.0,0.013745407263437906
21,1619842.125,1619842.125,0.0,0.013202508290608725
22,1606843.984375,1606843.984375,0.0,0.012825349966684977
23,1602732.2421875,1602732.2421875,0.0,0.013287524382273356
24,1608331.1796875,1608331.1796875,0.0,0.013070074717203777
25,1601920.7421875,1601920.7421875,0.0,0.013212613264719645
26,1604932.1171875,1604932.1171875,0.0,0.013197513421376546
27,1602605.828125,1602605.828125,0.0,0.013379414876302084
28,1601785.1015625,1601785.1015625,0.0,0.012908546129862468
29,1602662.109375,1602662.109375,0.0,0.013718843460083008
30,1617369.7578125,1617369.7578125,0.0,0.013396414120992024
31,1620898.609375,1620898.609375,0.0,0.013107208410898845
32,1604928.78125,1604928.78125,0.0,0.014217281341552734
33,1603170.4140625,1603170.4140625,0.0,0.013174140453338623
34,1609954.765625,1609954.765625,0.0,0.013706461588541666
35,1602567.3984375,1602567.3984375,0.0,0.014232889811197916
36,1601394.8828125,1601394.8828125,0.0,0.013702698548634847
37,1601344.25,1601344.25,0.0,0.01392207940419515
38,1600494.7890625,1600494.7890625,0.0,0.01577145258585612
39,1605282.3125,1605282.3125,0.0,0.013960627714792888
40,1611176.2578125,1611176.2578125,0.0,0.01387251615524292
41,1599775.59375,1599775.59375,0.0,0.013346691926320394
42,1600537.8515625,1600537.8515625,0.0,0.013147199153900146
43,1602691.7109375,1602691.7109375,0.0,0.013203040758768717
44,1599048.0546875,1599048.0546875,0.0,0.013083700338999431
45,1601976.671875,1601976.671875,0.0,0.013207995891571045
46,1601339.7578125,1601339.7578125,0.0,0.013116514682769776
47,1603309.625,1603309.625,0.0,0.013370792071024576
48,1603367.09375,1603367.09375,0.0,0.013246099154154459
49,1618758.03125,1618758.03125,0.0,0.01307135820388794
50,1644340.6484375,1644340.6484375,0.0,0.013200887044270833
51,1641268.109375,1641268.109375,0.0,0.013423800468444824
52,1655955.7421875,1655955.7421875,0.0,0.013031884034474691
53,1608049.015625,1608049.015625,0.0,0.013094568252563476
54,1602990.3046875,1602990.3046875,0.0,0.013200048605600994
55,1613360.5,1613360.5,0.0,0.013158917427062988
56,1624997.0234375,1624997.0234375,0.0,0.014274136225382487
57,1622303.3515625,1622303.3515625,0.0,0.013196214040120443
58,1610925.7890625,1610925.7890625,0.0,0.013330539067586264
59,1609081.015625,1609081.015625,0.0,0.01336654822031657
60,1601117.421875,1601117.421875,0.0,0.013228933016459147
61,1608244.8359375,1608244.8359375,0.0,0.0129120667775472
62,1601814.1796875,1601814.1796875,0.0,0.013741803169250489
63,1606740.859375,1606740.859375,0.0,0.014139334360758463
64,1605878.0234375,1605878.0234375,0.0,0.014571809768676757
65,1612143.1640625,1612143.1640625,0.0,0.01319872538248698
66,1606484.84375,1606484.84375,0.0,0.01302010218302409
